trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,11,-7.604163684293296,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,10,0.17485437801624593,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,8,-22.272664814912254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,3,-56.4291751037143,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,18,-25.27921083305513,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",35,18,-32.24169377843356,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,11,-54.32805419031844,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,9.459040346105208,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,15,-2.922108609033751,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,0,23.65658144875892,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,18,11.928163471854711,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,15,9.507873017218527,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,13,-2.239711046996134,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,13,13.355369557498667,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,0,9.393793268402845,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,14,16.76860353728711,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,6,-27.46824145967366,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,7,24.054770926623554,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,10,-14.506668477706567,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,15,12.917592206220899,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,16,-1.9890977657968643,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",25,2,-27.218020797664245,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,2,-66.81573977292044,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,4,27.49568938745314,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,17,2.2253603412252145,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",20,6,-6.682467867393406,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",30,20,19.304845686338123,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",20,12,7.0917914200349905,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",30,21,9.287350875132852,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",25,15,18.79687259249017,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",25,8,33.69690560969284,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
